,location,total_sqft,bath,price,bhk
2139,Electronic City,1090.0,2.0,31.48,1
2142,Electronic City,1060.0,2.0,55.0,2
2144,Electronic City,1353.0,2.0,75.0,2
2146,Electronic City,1128.0,2.0,67.0,2
2147,Electronic City,1070.0,2.0,57.0,2
2148,Electronic City,1700.0,3.0,90.0,3
2150,Electronic City,750.0,1.0,35.0,1
2151,Electronic City,1210.0,2.0,55.0,2
2152,Electronic City,1070.0,2.0,60.0,2
2157,Electronic City,1615.0,3.0,97.0,3
2159,Electronic City,1221.0,2.0,68.0,2
2161,Electronic City,1500.0,3.0,73.0,3
2162,Electronic City,995.0,2.0,48.0,2
2163,Electronic City,1342.0,2.0,90.0,2
2165,Electronic City,1128.0,2.0,63.5,2
2166,Electronic City,589.0,1.0,29.0,1
2169,Electronic City,1575.0,3.0,94.5,3
2170,Electronic City,1070.0,2.0,48.0,2
2171,Electronic City,1025.0,2.0,54.0,2
2172,Electronic City,1500.0,2.0,70.0,3
2173,Electronic City,1500.0,2.0,64.5,3
2175,Electronic City,2093.0,4.0,134.0,4
2177,Electronic City,1355.0,2.0,73.0,2
2178,Electronic City,1360.0,2.0,64.99,3
2179,Electronic City,1060.0,2.0,52.0,2
2180,Electronic City Phase II,1056.0,2.0,39.07,2
2181,Electronic City Phase II,1020.0,2.0,30.6,2
2182,Electronic City Phase II,1069.0,2.0,45.0,2
2183,Electronic City Phase II,630.0,1.0,28.35,1
2185,Electronic City Phase II,1000.0,2.0,25.0,2
2186,Electronic City Phase II,1090.0,2.0,28.34,2
2187,Electronic City Phase II,2225.0,4.0,98.88,4
2189,Electronic City Phase II,775.0,2.0,38.0,2
2190,Electronic City Phase II,1266.0,2.0,59.0,2
2191,Electronic City Phase II,1000.0,2.0,28.88,2
2194,Electronic City Phase II,972.0,2.0,44.0,2
2196,Electronic City Phase II,1031.0,2.0,55.0,2
2197,Electronic City Phase II,1003.0,2.0,40.6,2
2198,Electronic City Phase II,1031.0,2.0,56.35,2
2200,Electronic City Phase II,1395.0,2.0,62.78,3
2201,Electronic City Phase II,1160.0,2.0,33.5,2
2202,Electronic City Phase II,1065.0,2.0,30.75,2
2203,Electronic City Phase II,1219.0,2.0,61.25,2
2205,Electronic City Phase II,1000.0,2.0,28.88,2
2206,Electronic City Phase II,1790.0,3.0,100.0,3
2207,Electronic City Phase II,769.0,2.0,40.0,2
2209,Electronic City Phase II,900.0,2.0,32.5,2
2212,Electronic City Phase II,993.0,2.0,50.0,3
2213,Electronic City Phase II,1418.0,3.0,52.47,3
2214,Electronic City Phase II,1070.0,2.0,45.0,2
2217,Electronic City Phase II,1140.0,2.0,33.06,2
2218,Electronic City Phase II,1533.0,2.0,32.67,2
2219,Electronic City Phase II,1031.0,2.0,55.0,2
2220,Electronic City Phase II,1253.0,2.0,65.8,2
2222,Electronic City Phase II,1160.0,2.0,33.5,2
2223,Electronic City Phase II,975.0,2.0,45.0,3
2224,Electronic City Phase II,6000.0,4.0,260.0,4
2225,Electronic City Phase II,1116.0,2.0,37.0,2
2226,Electronic City Phase II,1125.0,2.0,29.25,2
2227,Electronic City Phase II,1000.0,2.0,28.88,2
2228,Electronic City Phase II,1000.0,2.0,28.88,2
2229,Electronic City Phase II,1000.0,2.0,28.88,2
2230,Electronic City Phase II,1165.0,2.0,30.29,2
2232,Electronic City Phase II,1031.0,2.0,53.0,2
2234,Electronic City Phase II,1065.0,2.0,30.88,2
2236,Electronic City Phase II,1549.0,3.0,80.0,3
2237,Electronic City Phase II,1065.0,2.0,56.13,2
2239,Electronic City Phase II,920.0,2.0,26.0,2
2240,Electronic City Phase II,1140.0,2.0,33.84,2
2241,Electronic City Phase II,1219.0,2.0,61.26,2
2242,Electronic City Phase II,1252.0,2.0,65.0,3
2243,Electronic City Phase II,1125.0,2.0,32.49,2
2245,Electronic City Phase II,1286.0,2.0,69.0,2
2247,Electronic City Phase II,1140.0,2.0,32.92,2
2248,Electronic City Phase II,1116.0,2.0,40.0,2
2249,Electronic City Phase II,1150.0,3.0,46.0,3
2250,Electronic City Phase II,1192.0,2.0,47.0,3
2252,Electronic City Phase II,1020.0,2.0,32.0,2
2253,Electronic City Phase II,1900.0,3.0,97.0,4
2254,Electronic City Phase II,1020.0,2.0,27.43,2
2255,Electronic City Phase II,1025.0,2.0,26.65,2
2256,Electronic City Phase II,1020.0,2.0,29.45,2
2257,Electronic City Phase II,1000.0,2.0,28.88,2
2259,Electronic City Phase II,1140.0,2.0,28.5,2
2260,Electronic City Phase II,1125.0,2.0,32.49,2
2261,Electronic City Phase II,1200.0,2.0,34.65,2
2262,Electronic City Phase II,1160.0,2.0,52.2,2
2263,Electronic City Phase II,1244.0,2.0,55.0,2
2264,Electronic City Phase II,1160.0,2.0,33.51,2
2267,Electronic City Phase II,972.0,2.0,40.0,2
2268,Electronic City Phase II,1160.0,2.0,33.51,2
2270,Electronic City Phase II,1090.0,2.0,31.48,2
2271,Electronic City Phase II,1140.0,2.0,32.92,2
2272,Electronic City Phase II,650.0,1.0,35.0,1
2273,Electronic City Phase II,1155.0,2.0,57.0,2
2274,Electronic City Phase II,1800.0,3.0,92.0,3
2275,Electronic City Phase II,1300.0,2.0,28.0,2
2276,Electronic City Phase II,1160.0,2.0,33.5,2
2277,Electronic City Phase II,1025.0,2.0,29.6,2
2278,Electronic City Phase II,829.0,2.0,22.8,2
2280,Electronic City Phase II,1252.0,2.0,67.0,2
2282,Electronic City Phase II,1125.0,2.0,32.63,2
2283,Electronic City Phase II,1140.0,2.0,34.0,2
2286,Electronic City Phase II,1252.0,2.0,65.0,3
2287,Electronic City Phase II,1135.0,2.0,46.0,2
2288,Electronic City Phase II,1305.0,3.0,65.0,3
2289,Electronic City Phase II,1165.0,2.0,33.64,2
2291,Electronic City Phase II,1336.0,2.0,50.35,3
2292,Electronic City Phase II,575.0,1.0,16.75,1
2293,Electronic City Phase II,925.0,2.0,49.82,3
2294,Electronic City Phase II,1065.0,2.0,30.76,2
2295,Electronic City Phase II,1065.0,2.0,30.75,2
2296,Electronic City Phase II,1140.0,2.0,33.06,2
2297,Electronic City Phase II,911.0,2.0,26.5,2
2298,Electronic City Phase II,1200.0,2.0,34.65,2
2299,Electronic City Phase II,1031.0,2.0,54.48,2
2303,Electronics City Phase 1,1475.0,3.0,78.29,3
2304,Electronics City Phase 1,1490.0,3.0,78.8,3
2305,Electronics City Phase 1,1113.27,2.0,53.0,2
2306,Electronics City Phase 1,1490.0,3.0,84.0,3
2307,Electronics City Phase 1,1175.0,2.0,51.47,2
2308,Electronics City Phase 1,1160.0,2.0,52.0,2
2313,Electronics City Phase 1,1015.0,2.0,56.0,2
2315,Electronics City Phase 1,1515.0,2.0,80.91,3
2316,Electronics City Phase 1,995.0,2.0,46.0,2
2317,Electronics City Phase 1,1555.0,2.0,82.0,3
2318,Electronics City Phase 1,1340.0,2.0,75.0,2
2319,Electronics City Phase 1,650.0,1.0,23.0,1
2320,Electronics City Phase 1,1124.0,2.0,55.0,3
2321,Electronics City Phase 1,1175.0,2.0,57.0,2
2322,Electronics City Phase 1,755.0,1.0,42.41,1
2323,Electronics City Phase 1,580.0,1.0,27.0,1
2324,Electronics City Phase 1,940.0,2.0,49.0,2
2325,Electronics City Phase 1,1335.0,2.0,67.0,2
2326,Electronics City Phase 1,1113.12,2.0,55.0,2
2328,Electronics City Phase 1,1350.0,3.0,71.0,3
2330,Electronics City Phase 1,995.0,2.0,49.8,2
2331,Electronics City Phase 1,635.0,1.0,26.0,1
2332,Electronics City Phase 1,1190.0,2.0,68.0,2
2334,Electronics City Phase 1,1450.0,3.0,72.54,3
2335,Electronics City Phase 1,360.0,1.0,16.9,1
2336,Electronics City Phase 1,638.0,1.0,32.0,1
2337,Electronics City Phase 1,1175.0,2.0,64.98,2
2338,Electronics City Phase 1,585.0,1.0,21.0,1
2339,Electronics City Phase 1,1200.0,2.0,59.76,2
2340,Electronics City Phase 1,1145.0,2.0,54.0,2
2341,Electronics City Phase 1,1125.0,2.0,65.0,2
2342,Electronics City Phase 1,1550.0,2.0,82.0,3
2344,Electronics City Phase 1,1140.0,1.0,45.4,1
2345,Electronics City Phase 1,865.0,2.0,40.0,2
2349,Electronics City Phase 1,1800.0,3.0,93.0,3
2350,Electronics City Phase 1,1314.0,2.0,60.0,2
2351,Electronics City Phase 1,1170.0,2.0,62.0,2
2352,Electronics City Phase 1,1450.0,3.0,79.0,3
2353,Electronics City Phase 1,940.0,2.0,48.0,2
2354,Electronics City Phase 1,940.0,2.0,44.0,2
2355,Electronics City Phase 1,1300.0,2.0,67.0,2
2356,Electronics City Phase 1,1028.0,2.0,51.0,2
2358,Electronics City Phase 1,1205.0,2.0,60.0,2
2360,Electronics City Phase 1,1305.0,2.0,67.0,2
2361,Electronics City Phase 1,755.0,1.0,30.12,1
2362,Electronics City Phase 1,1175.0,2.0,60.0,2
2363,Frazer Town,1700.0,3.0,180.0,3
2364,Frazer Town,1305.0,3.0,95.45,3
2365,Frazer Town,1870.0,3.0,185.0,3
2366,Frazer Town,1750.0,3.0,150.0,3
2368,Frazer Town,2000.0,3.0,200.0,3
2369,Frazer Town,3500.0,4.0,330.0,3
2370,Frazer Town,2350.0,4.0,285.0,3
2371,Frazer Town,1550.0,2.0,140.0,2
2372,Frazer Town,1900.0,4.0,145.0,3
2373,Frazer Town,2560.0,3.0,265.0,3
2374,Frazer Town,2400.0,3.0,260.0,3
2375,Frazer Town,2560.0,3.0,288.0,3
2376,Frazer Town,3436.0,5.0,341.0,4
2378,Frazer Town,1315.0,2.0,140.0,2
2379,Frazer Town,1706.0,3.0,154.0,3
2380,Frazer Town,2079.0,3.0,220.0,3
2381,Frazer Town,3435.0,2.0,341.0,4
2382,Frazer Town,3436.0,5.0,345.0,4
2383,Frazer Town,3100.0,3.0,400.0,3
2384,Frazer Town,5400.0,3.0,400.0,3
2385,Frazer Town,1180.0,2.0,105.0,2
2386,Frazer Town,2900.0,4.0,325.0,4
2387,Frazer Town,1870.0,3.0,180.0,3
2388,Frazer Town,896.0,1.0,100.0,1
2389,Frazer Town,1420.0,2.0,120.0,2
2390,GM Palaya,1820.0,2.0,86.0,3
2391,GM Palaya,1225.0,2.0,47.0,2
2392,GM Palaya,1140.0,2.0,48.95,2
2393,GM Palaya,1315.0,2.0,65.0,3
2394,GM Palaya,1315.0,3.0,65.0,3
2395,GM Palaya,1315.0,3.0,64.0,3
2396,GM Palaya,1735.0,3.0,70.0,3
2397,GM Palaya,1643.0,2.0,70.0,3
2398,Garudachar Palya,1325.0,2.0,60.8,3
2399,Garudachar Palya,1060.0,2.0,48.7,2
2400,Garudachar Palya,1150.0,2.0,52.75,2
2401,Garudachar Palya,1295.0,2.0,59.5,3
2402,Garudachar Palya,1320.0,2.0,60.6,3
2403,Garudachar Palya,1295.0,2.0,59.5,3
2404,Garudachar Palya,1150.0,2.0,52.8,2
2405,Garudachar Palya,1150.0,2.0,52.8,2
2406,Garudachar Palya,1060.0,2.0,48.5,2
2407,Garudachar Palya,1150.0,2.0,52.5,2
2408,Garudachar Palya,1325.0,2.0,60.8,3
2409,Garudachar Palya,1060.0,2.0,48.66,2
2410,Garudachar Palya,1150.0,2.0,52.0,2
2411,Garudachar Palya,1154.0,2.0,51.8,2
2413,Giri Nagar,2400.0,4.0,400.0,4
2414,Giri Nagar,1800.0,3.0,252.0,3
2415,Giri Nagar,1350.0,3.0,240.0,3
2416,Giri Nagar,2400.0,4.0,400.0,4
2417,Giri Nagar,3000.0,4.0,375.0,6
2418,Giri Nagar,2400.0,6.0,400.0,6
2419,Giri Nagar,4000.0,3.0,750.0,4
2420,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2421,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2422,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2423,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2424,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2425,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2426,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2427,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2428,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2429,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2430,Gottigere,1100.0,2.0,40.0,2
2431,Gottigere,967.0,2.0,45.0,2
2432,Gottigere,1618.0,3.0,82.5,3
2433,Gottigere,1222.0,2.0,63.0,2
2435,Gottigere,1300.0,3.0,65.0,3
2436,Gottigere,950.0,2.0,38.0,2
2437,Gottigere,1153.0,2.0,48.5,2
2438,Gottigere,812.0,1.0,26.0,1
2440,Gottigere,1460.0,2.0,65.0,3
2441,Gottigere,1500.0,3.0,70.0,3
2442,Gottigere,1621.0,3.0,72.0,3
2443,Gottigere,812.0,1.0,26.0,1
2444,Gottigere,990.0,2.0,40.0,2
2445,Gottigere,1235.0,2.0,63.0,2
2446,Gottigere,1385.0,3.0,64.0,3
2447,Gottigere,1000.0,2.0,35.0,2
2448,Gottigere,1010.0,2.0,35.0,2
2451,Gottigere,1435.0,2.0,62.0,3
2452,Gottigere,945.0,2.0,45.0,2
2454,Gottigere,2500.0,3.0,120.0,4
2455,Gottigere,1230.0,2.0,52.0,3
2456,Gottigere,1120.0,2.0,50.0,2
2457,Gottigere,1500.0,3.0,63.0,3
2458,Gottigere,1200.0,2.0,40.0,2
2459,Gottigere,1280.0,2.0,61.0,2
2460,Gottigere,1205.0,2.0,56.58,2
2461,Gottigere,1170.0,2.0,40.0,2
2462,Gottigere,3000.0,3.0,132.0,4
2463,Gottigere,1613.0,3.0,72.0,3
2464,Gottigere,1110.0,2.0,36.25,2
2465,Gottigere,1245.0,2.0,59.0,2
2466,Gottigere,1200.0,2.0,50.0,2
2467,Green Glen Layout,1670.0,3.0,120.0,3
2468,Green Glen Layout,3250.0,4.0,230.0,4
2469,Green Glen Layout,1776.42,3.0,105.0,3
2470,Green Glen Layout,3250.0,4.0,230.0,4
2471,Green Glen Layout,940.0,2.0,56.8,2
2472,Green Glen Layout,1075.0,2.0,60.0,2
2473,Green Glen Layout,1715.0,3.0,115.0,3
2474,Green Glen Layout,1751.0,2.0,115.0,3
2475,Green Glen Layout,1750.0,3.0,130.0,3
2476,Green Glen Layout,1530.0,3.0,105.0,3
2477,Green Glen Layout,1752.0,3.0,105.0,3
2478,Green Glen Layout,1680.0,4.0,95.0,3
2479,Green Glen Layout,1728.0,3.0,125.0,3
2480,Green Glen Layout,1645.0,3.0,110.0,3
2481,Green Glen Layout,1517.0,3.0,100.0,3
2482,Green Glen Layout,3150.0,4.0,218.0,4
2484,Green Glen Layout,1750.0,3.0,120.0,3
2485,Green Glen Layout,1751.0,3.0,115.0,3
2486,Green Glen Layout,1750.0,3.0,105.0,3
2487,Green Glen Layout,1885.0,3.0,135.0,3
2488,Green Glen Layout,1715.0,3.0,120.0,3
2489,Green Glen Layout,1623.29,2.0,105.0,3
2490,Green Glen Layout,1715.0,3.0,115.0,3
2491,Green Glen Layout,1715.0,3.0,105.0,3
2492,Green Glen Layout,1600.0,3.0,105.0,3
2493,Green Glen Layout,1717.0,3.0,125.0,3
2494,Green Glen Layout,1250.0,2.0,75.0,2
2495,Green Glen Layout,1715.0,3.0,112.0,3
2496,Gubbalala,1470.0,2.0,82.0,3
2497,Gubbalala,1745.0,3.0,104.0,3
2498,Gubbalala,1745.0,3.0,115.0,3
2499,Gubbalala,1745.0,3.0,110.0,3
2500,Gubbalala,1650.0,3.0,71.0,3
2501,Gubbalala,2570.0,4.0,141.0,5
2502,Gubbalala,1205.0,2.0,70.0,2
2503,Gubbalala,1435.0,2.0,80.0,3
2504,Gubbalala,1475.0,2.0,80.0,2
2506,Gubbalala,1100.0,2.0,49.5,2
2507,Gubbalala,1060.0,2.0,46.0,2
2508,Gubbalala,2000.0,3.0,125.0,3
2510,Gunjur,1140.0,2.0,43.0,2
2511,Gunjur,1356.0,2.0,66.0,3
2512,Gunjur,1600.0,3.0,75.0,3
2513,Gunjur,2000.0,3.0,95.0,4
2514,Gunjur,1140.0,2.0,49.11,2
2515,Gunjur,1195.0,2.0,44.0,2
2516,Gunjur,1190.0,2.0,40.0,2
2517,Gunjur,1457.0,2.0,60.0,2
2518,Gunjur,1080.0,2.0,41.0,2
2521,Gunjur,1175.0,2.0,43.48,2
2522,Gunjur,1362.0,3.0,62.63,3
2523,Gunjur,1071.0,2.0,51.0,2
2524,Gunjur,1063.0,2.0,40.0,2
2525,Gunjur,1235.0,2.0,52.76,2
2526,Gunjur,1362.0,3.0,62.63,3
2527,Gunjur,1362.0,3.0,62.63,3
2528,Gunjur,1588.0,2.0,90.0,3
2529,Gunjur,1235.0,2.0,44.5,2
2530,Gunjur,1457.0,2.0,60.0,2
2531,HAL 2nd Stage,1490.0,2.0,300.0,3
2532,HAL 2nd Stage,600.0,3.0,145.0,2
2533,HAL 2nd Stage,2700.0,3.0,500.0,3
2534,HAL 2nd Stage,2040.0,4.0,500.0,5
2535,HBR Layout,2800.0,2.0,200.0,3
2536,HBR Layout,1722.0,3.0,95.0,3
2537,HBR Layout,1200.0,4.0,120.0,4
2538,HBR Layout,1200.0,2.0,60.0,2
2539,HBR Layout,1004.0,2.0,49.0,2
2540,HBR Layout,1783.0,3.0,125.0,3
2541,HBR Layout,1656.0,3.0,90.0,3
2542,HBR Layout,1089.0,2.0,60.0,2
2543,HBR Layout,1700.0,3.0,110.0,3
2544,HBR Layout,1198.0,2.0,65.0,2
2545,HBR Layout,1200.0,4.0,115.0,4
2546,HBR Layout,1200.0,2.0,120.0,2
2547,HBR Layout,1832.0,3.0,160.0,3
2548,HRBR Layout,1374.0,2.0,95.0,2
2549,HRBR Layout,1440.0,2.0,98.0,2
2551,HRBR Layout,2800.0,3.0,250.0,3
2552,HRBR Layout,1210.0,2.0,75.0,2
2553,HRBR Layout,1265.0,2.0,78.0,2
2554,HRBR Layout,1170.0,2.0,75.0,2
2556,HRBR Layout,1900.0,3.0,90.0,4
2557,HRBR Layout,1625.0,3.0,120.0,3
2558,HRBR Layout,1301.0,2.0,120.0,2
2559,HRBR Layout,1145.0,2.0,68.5,2
2560,HRBR Layout,1300.0,2.0,90.0,2
2562,HSR Layout,1372.0,2.0,68.0,2
2564,HSR Layout,1475.0,3.0,75.0,3
2565,HSR Layout,1467.0,2.0,55.0,2
2566,HSR Layout,1140.0,2.0,46.0,2
2567,HSR Layout,1372.0,2.0,61.0,2
2568,HSR Layout,1750.0,3.0,95.0,3
2570,HSR Layout,1027.0,2.0,44.0,2
2571,HSR Layout,1650.0,3.0,110.0,3
2572,HSR Layout,1140.0,2.0,46.0,2
2573,HSR Layout,1372.0,2.0,61.0,2
2574,HSR Layout,1140.0,2.0,46.0,2
2575,HSR Layout,1185.0,2.0,60.0,2
2576,HSR Layout,1127.0,2.0,68.0,2
2577,HSR Layout,1600.0,2.0,115.0,3
2578,HSR Layout,1145.0,2.0,48.0,2
2579,HSR Layout,1009.0,2.0,56.0,2
2580,HSR Layout,1300.0,2.0,98.0,2
2582,HSR Layout,1140.0,2.0,46.0,2
2583,HSR Layout,1126.0,2.0,69.0,2
2585,HSR Layout,1140.0,2.0,46.0,2
2586,HSR Layout,1145.0,2.0,46.0,2
2587,HSR Layout,1142.0,2.0,65.0,2
2588,HSR Layout,1145.0,2.0,46.0,2
2589,HSR Layout,1844.0,3.0,95.0,3
2590,HSR Layout,1203.0,2.0,72.0,2
2591,HSR Layout,1140.0,2.0,46.0,2
2592,HSR Layout,4200.0,5.0,245.0,5
2593,HSR Layout,1140.0,2.0,46.0,2
2594,HSR Layout,1145.0,2.0,46.0,2
2595,HSR Layout,1009.0,2.0,56.0,2
2596,HSR Layout,1145.0,2.0,46.0,2
2597,HSR Layout,1100.0,2.0,44.0,2
2598,HSR Layout,1203.0,2.0,60.0,2
2599,HSR Layout,1120.0,2.0,70.0,2
2600,HSR Layout,1140.0,2.0,46.0,2
2601,HSR Layout,1289.0,2.0,70.0,2
2602,HSR Layout,1844.0,3.0,89.0,3
2603,HSR Layout,1203.0,2.0,60.0,2
2604,HSR Layout,1140.0,2.0,46.0,2
2605,Haralur Road,1240.0,2.0,70.0,2
2606,Haralur Road,1027.0,2.0,44.0,2
2609,Haralur Road,1194.0,2.0,47.0,2
2610,Haralur Road,1202.0,2.0,53.0,2
2611,Haralur Road,1056.0,2.0,61.0,2
2613,Haralur Road,1810.0,3.0,100.0,3
2614,Haralur Road,1194.0,2.0,46.0,2
2616,Haralur Road,1225.0,2.0,67.38,2
2617,Haralur Road,1243.0,2.0,46.0,2
2618,Haralur Road,1027.0,2.0,44.0,2
2619,Haralur Road,1920.0,3.0,115.0,3
2620,Haralur Road,1875.0,3.0,110.0,3
2621,Haralur Road,1194.0,2.0,47.0,2
2622,Haralur Road,1140.0,2.0,43.0,2
2623,Haralur Road,1027.0,2.0,44.0,2
2624,Haralur Road,1194.0,2.0,46.0,2
2625,Haralur Road,2017.0,3.0,125.0,3
2626,Haralur Road,1140.0,2.0,43.0,2
2627,Haralur Road,1875.0,3.0,110.0,3
2628,Haralur Road,1092.0,2.0,44.0,2
2629,Haralur Road,2475.0,4.0,130.0,3
2630,Haralur Road,1300.0,2.0,73.0,2
2631,Haralur Road,1194.0,2.0,47.0,2
2632,Haralur Road,1243.0,2.0,46.0,2
2633,Haralur Road,1850.0,3.0,110.0,3
2634,Haralur Road,1225.0,2.0,67.38,2
2635,Haralur Road,1243.0,2.0,46.0,2
2636,Haralur Road,3400.0,5.0,240.0,4
2637,Haralur Road,1464.0,2.0,56.0,2
2638,Haralur Road,1230.0,2.0,78.0,2
2639,Haralur Road,1000.0,2.0,44.0,2
2641,Haralur Road,1300.0,2.0,79.0,2
2642,Haralur Road,1444.0,2.0,80.0,3
2643,Haralur Road,1088.0,2.0,68.0,2
2644,Haralur Road,1027.0,2.0,44.0,2
2646,Haralur Road,1225.0,2.0,70.0,2
2648,Haralur Road,1194.0,2.0,46.0,2
2649,Haralur Road,1830.0,3.0,101.0,3
2650,Haralur Road,1810.0,3.0,126.0,3
2651,Haralur Road,1464.0,2.0,56.0,2
2652,Haralur Road,1520.0,2.0,96.0,3
2653,Haralur Road,1300.0,2.0,75.0,2
2654,Haralur Road,2017.0,2.0,125.0,3
2655,Haralur Road,1243.0,2.0,46.0,2
2656,Haralur Road,1027.0,2.0,44.0,2
2657,Haralur Road,2805.0,5.0,160.0,4
2658,Haralur Road,1243.0,2.0,46.0,2
2659,Haralur Road,1027.0,2.0,44.0,2
2660,Haralur Road,2017.0,3.0,105.0,3
2661,Haralur Road,1243.0,2.0,46.0,2
2662,Haralur Road,1243.0,2.0,46.0,2
2663,Haralur Road,1520.0,2.0,90.0,3
2664,Haralur Road,1300.0,2.0,60.0,2
2665,Haralur Road,1985.0,3.0,130.0,3
2666,Haralur Road,1255.0,2.0,90.0,3
2667,Haralur Road,1056.0,2.0,60.0,2
2668,Haralur Road,1140.0,2.0,42.0,2
2669,Haralur Road,1245.0,2.0,62.0,2
2670,Haralur Road,1140.0,2.0,58.0,2
2671,Haralur Road,1140.0,2.0,42.0,2
2672,Haralur Road,1027.0,2.0,43.0,2
2673,Haralur Road,1194.0,2.0,47.0,2
2674,Haralur Road,1194.0,2.0,47.0,2
2675,Haralur Road,1560.0,3.0,90.0,3
2676,Haralur Road,1520.0,2.0,85.0,3
2677,Haralur Road,1243.0,2.0,45.0,2
2678,Haralur Road,1027.0,2.0,44.0,2
2679,Haralur Road,1194.0,2.0,46.0,2
2680,Haralur Road,1650.0,3.0,100.0,3
2681,Haralur Road,1580.0,3.0,73.0,3
2682,Haralur Road,1243.0,2.0,46.0,2
2683,Haralur Road,1194.0,2.0,47.0,2
2685,Haralur Road,1520.0,2.0,96.0,3
2686,Haralur Road,1510.0,3.0,83.05,3
2687,Haralur Road,1056.0,2.0,65.0,2
2688,Haralur Road,1810.0,3.0,100.0,3
2689,Haralur Road,1243.0,2.0,46.0,2
2690,Haralur Road,575.0,1.0,38.0,1
2691,Haralur Road,1194.0,2.0,46.0,2
2692,Haralur Road,1243.0,2.0,46.0,2
2693,Haralur Road,1194.0,2.0,46.0,2
2694,Haralur Road,1140.0,2.0,43.0,2
2695,Haralur Road,1850.0,3.0,120.0,3
2696,Haralur Road,1194.0,2.0,47.0,2
2697,Haralur Road,1194.0,2.0,47.0,2
2699,Haralur Road,1243.0,2.0,46.0,2
2700,Haralur Road,1710.0,3.0,85.0,3
2701,Haralur Road,1730.0,3.0,95.0,3
2702,Haralur Road,1243.0,2.0,46.0,2
2703,Haralur Road,1243.0,2.0,46.0,2
2704,Haralur Road,1243.0,2.0,46.0,2
2705,Haralur Road,1817.0,3.0,110.0,3
2706,Haralur Road,1225.0,2.0,77.0,2
2707,Haralur Road,1285.0,2.0,78.0,2
2708,Haralur Road,1225.0,2.0,67.48,2
2709,Haralur Road,1225.0,2.0,69.84,2
2710,Haralur Road,1200.0,2.0,46.0,2
2711,Haralur Road,1315.0,2.0,85.0,2
2712,Haralur Road,1976.0,3.0,92.0,3
2713,Haralur Road,1300.0,2.0,75.0,2
2714,Haralur Road,1309.0,2.0,82.0,2
2715,Haralur Road,1027.0,1.0,44.0,2
2716,Haralur Road,1243.0,2.0,46.0,2
2717,Haralur Road,1243.0,2.0,46.0,2
2718,Haralur Road,1140.0,2.0,43.0,2
2719,Haralur Road,1300.0,2.0,75.0,2
2720,Haralur Road,1243.0,2.0,46.0,2
2721,Haralur Road,1890.0,3.0,84.0,3
2722,Haralur Road,1230.0,2.0,67.65,2
2723,Haralur Road,1194.0,2.0,46.0,2
2724,Haralur Road,1092.0,2.0,44.0,2
2726,Haralur Road,1255.0,3.0,90.0,3
2727,Haralur Road,1735.0,3.0,97.0,3
2728,Haralur Road,1810.0,3.0,97.83,3
2729,Haralur Road,1200.0,2.0,46.0,2
2730,Haralur Road,1243.0,2.0,46.0,2
2731,Haralur Road,1810.0,3.0,112.0,3
2732,Harlur,1508.0,2.0,77.0,2
2733,Harlur,1752.12,3.0,135.0,3
2736,Harlur,1709.0,3.0,150.0,3
2737,Harlur,1174.0,2.0,69.0,2
2738,Harlur,1033.0,2.0,49.0,2
2739,Harlur,1197.0,2.0,84.0,2
2740,Harlur,1757.0,3.0,132.0,3
2741,Harlur,1174.0,2.0,76.0,2
2742,Harlur,1754.0,3.0,125.0,3
2743,Harlur,1290.0,2.0,85.0,2
2744,Harlur,1752.12,3.0,116.0,3
2745,Harlur,1754.0,3.0,135.0,3
2746,Harlur,1754.0,3.0,124.0,3
2747,Harlur,1152.0,2.0,69.0,2
2748,Harlur,1290.0,2.0,87.0,2
2749,Harlur,1749.0,3.0,115.0,3
2750,Harlur,3385.0,4.0,260.0,4
2751,Harlur,2240.0,5.0,155.0,3
2752,Harlur,1758.0,3.0,133.0,3
2754,Harlur,1197.0,2.0,79.0,2
2755,Harlur,1174.0,2.0,78.0,2
2758,Harlur,1200.0,2.0,52.0,2
2759,Harlur,1197.0,2.0,79.0,2
2760,Harlur,1749.0,3.0,112.0,3
2761,Harlur,1174.0,2.0,75.0,2
2762,Harlur,1750.0,3.0,136.0,3
2763,Harlur,1620.0,3.0,110.0,3
2766,Harlur,1762.0,3.0,133.0,3
2767,Harlur,1756.0,3.0,131.0,3
2768,Harlur,1755.0,3.0,130.0,3
2769,Harlur,1864.0,3.0,140.0,3
2770,Harlur,1331.0,2.0,88.0,2
2771,Harlur,1752.12,3.0,133.0,3
2772,Harlur,1133.0,2.0,55.0,2
2773,Harlur,1756.0,3.0,128.0,3
2774,Harlur,1749.0,3.0,120.0,3
2775,Harlur,1197.0,2.0,82.0,2
2776,Harlur,1303.0,2.0,90.0,2
2777,Harlur,1754.0,3.0,132.0,3
2778,Harlur,1174.0,2.0,75.0,2
